Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Bel Aire Park Magnet Elementary School,Napa Valley Unified,15132,"Food will be served at all 26 sites. Lunch and breakfast will be distributed to in-person students on their way home. 
On Tuesdays when the PM cohort leaves for the week, students will receive multiple days meals at both the elementary and secondary sites. 
On Fridays when the AM cohort leaves, students will receive multiple days meals at both elementary and secondary.
 
Home delivery will continue on Wednesdays to families that have this need and have signed up.

Curbside meal pick-ups will be on Mondays only at the following sites at two times* to accommodate working parents: 

ACMS
NHS
Snow
 Phillips.",,NVUSD ofrece desayunos y almuerzos gratuitos para todos los niños de 18 años y menores los lunes y jueves de 11:00 a 12:00 en las escuelas participantes. Pasen para recoger las comidas. ,3580 Beckworth Dr,3580 Beckworth Dr,Napa,94558,,,https://www.nvusd.k12.ca.us/pf4/cms2/news_themed_display?id=1603187177263,communications@nvusd.org,Open,,In person,,School Meals,(707) 253-3715,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Charlie,Matthew Choi,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Browns Valley Elementary School,Napa Valley Unified,15133,"Food will be served at all 26 sites. Lunch and breakfast will be distributed to in-person students on their way home. 
On Tuesdays when the PM cohort leaves for the week, students will receive multiple days meals at both the elementary and secondary sites. 
On Fridays when the AM cohort leaves, students will receive multiple days meals at both elementary and secondary.
 
Home delivery will continue on Wednesdays to families that have this need and have signed up.

Curbside meal pick-ups will be on Mondays only at the following sites at two times* to accommodate working parents: 

ACMS
NHS
Snow
 Phillips.",,NVUSD ofrece desayunos y almuerzos gratuitos para todos los niños de 18 años y menores los lunes y jueves de 11:00 a 12:00 en las escuelas participantes. Pasen para recoger las comidas. ,1001 Buhman Ave,1001 Buhman Ave,Napa,94558,,,https://www.nvusd.k12.ca.us/pf4/cms2/news_themed_display?id=1603187177263,communications@nvusd.org,Open,,In person,,School Meals,(707) 253-3715,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Charlie,Matthew Choi,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Canyon Oaks Elementary School,Napa Valley Unified,15134,"Food will be served at all 26 sites. Lunch and breakfast will be distributed to in-person students on their way home. 
On Tuesdays when the PM cohort leaves for the week, students will receive multiple days meals at both the elementary and secondary sites. 
On Fridays when the AM cohort leaves, students will receive multiple days meals at both elementary and secondary.
 
Home delivery will continue on Wednesdays to families that have this need and have signed up.

Curbside meal pick-ups will be on Mondays only at the following sites at two times* to accommodate working parents: 

ACMS
NHS
Snow
 Phillips.",,NVUSD ofrece desayunos y almuerzos gratuitos para todos los niños de 18 años y menores los lunes y jueves de 11:00 a 12:00 en las escuelas participantes. Pasen para recoger las comidas. ,475 Silver Oak Trail,475 Silver Oak Trail,American Canyon,94503,,,https://www.nvusd.k12.ca.us/pf4/cms2/news_themed_display?id=1603187177263,communications@nvusd.org,Open,,In person,,School Meals,(707) 253-3715,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Charlie,Matthew Choi,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Donaldson Way Elementary School,Napa Valley Unified,15135,"Food will be served at all 26 sites. Lunch and breakfast will be distributed to in-person students on their way home. 
On Tuesdays when the PM cohort leaves for the week, students will receive multiple days meals at both the elementary and secondary sites. 
On Fridays when the AM cohort leaves, students will receive multiple days meals at both elementary and secondary.
 
Home delivery will continue on Wednesdays to families that have this need and have signed up.

Curbside meal pick-ups will be on Mondays only at the following sites at two times* to accommodate working parents: 

ACMS
NHS
Snow
 Phillips.",,NVUSD ofrece desayunos y almuerzos gratuitos para todos los niños de 18 años y menores los lunes y jueves de 11:00 a 12:00 en las escuelas participantes. Pasen para recoger las comidas. ,430 Donaldson Way,430 Donaldson Way,American Canyon,94503,,,https://www.nvusd.k12.ca.us/pf4/cms2/news_themed_display?id=1603187177263,communications@nvusd.org,Open,,In person,,School Meals,(707) 253-3715,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Charlie,Matthew Choi,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Napa Junction Magnet Elementary Schoo,Napa Valley Unified,15136,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",300 Napa Junction Rd,300 Napa Junction Rd,American Canyon,94503,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Northwood Elementary School,Napa Valley Unified,15137,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",2214 Berks St,2214 Berks St,Napa,94558,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Pueblo Vista Magnet Elementary School,Napa Valley Unified,15139,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",1600 Barbara Rd,1600 Barbara Rd,Napa,94558,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Vichy Elementary School,Napa Valley Unified,15140,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",3261 Vichy Ave,3261 Vichy Ave,Napa,94558,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
West Park Elementary School,Napa Valley Unified,15141,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",2315 W Park Ave,2315 W Park Ave,Napa,94558,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Willow Elementary Magnet School,Napa Valley Unified,15142,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",1480 El Centro Ave,1480 El Centro Ave,Napa,94558,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
River School,Napa Valley Unified,15143,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",1850 Salvador Ave,1850 Salvador Ave,Napa,94558,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
American Canyon High School,Napa Valley Unified,15144,"Food will be served at all 26 sites. Lunch and breakfast will be distributed to in-person students on their way home. 
On Tuesdays when the PM cohort leaves for the week, students will receive multiple days meals at both the elementary and secondary sites. 
On Fridays when the AM cohort leaves, students will receive multiple days meals at both elementary and secondary.
 
Home delivery will continue on Wednesdays to families that have this need and have signed up.

Curbside meal pick-ups will be on Mondays only at the following sites at two times* to accommodate working parents: 

ACMS
NHS
Snow
 Phillips.",,NVUSD ofrece desayunos y almuerzos gratuitos para todos los niños de 18 años y menores los lunes y jueves de 11:00 a 12:00 en las escuelas participantes. Pasen para recoger las comidas. ,3000 Newell Dr,3000 Newell Dr,American Canyon,94503,,,https://www.nvusd.k12.ca.us/pf4/cms2/news_themed_display?id=1603187177263,communications@nvusd.org,Open,,In person,,School Meals,(707) 253-3715,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Charlie,Matthew Choi,Vetted,11/12/2020 6:37am,Charlie Hoffs,
New Technology High School,Napa Valley Unified,15145,"Any NVUSD students 18 years and younger can receive breakfast and lunch items. Breakfast and lunch will be distributed to in-person students on their way home: Tuesdays for the PM cohort and Fridays for the AM cohort. Curbside meal pickups are available on Mondays between 6:30-8:00 AM and 4:30-6:00 PM only at ACMS, NHS, Snow, and Phillips. The student must be present in order to pick up a meal.  No paperwork necessary.",,"Cualquier estudiante del NVUSD de 18 años o menos puede recibir el desayuno y el almuerzo. El desayuno y el almuerzo se distribuirán a los estudiantes en persona en camino a casa: los martes para el grupo de la tarde y los viernes para el grupo de la mañana. La recolecta de comida en la acera está disponibles los lunes de las 6: 30 a 8: 00 a.m. y las 4: 30 a 6: 00 p.m. solo en ACMS, NHS, Snow y Phillips. El estudiante debe estar presente para recoger una comida. No es necesario ningún papeleo.",920 Yount St,920 Yount St,Napa,94559,,,https://www.nvusd.k12.ca.us/nosh,nosh@nvusd.org,Open,,Curbside Pickup,,School Meals,(702) 253-3541,Napa Valley Unified - Tuesday/Friday,"Tuesday, Friday",2:30,3:30,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/8/2020,Ryan,Ryan Lee,Vetted,11/12/2020 6:37am,Charlie Hoffs,
Carpe Diem High School,Petaluma City Schools,15148,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",199 Fair St,199 Fair St,Petaluma,199 Fair St,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
Casa Grande,Petaluma City Schools,15149,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",333 Casa Grande Rd,333 Casa Grande Rd,Petaluma,94952,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
Grant Elementary,Petaluma City Schools,15150,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",200 Grant Ave.,200 Grant Ave.,Petaluma,94952,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
Kenilworth Junior High,Petaluma City Schools,15151,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",800 Riesling Rd,800 Riesling Rd,Petaluma,94954,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
Mary Collins at Cherry Valley,Petaluma City Schools,15152,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",1001 Cherry St,1001 Cherry St,Petaluma,94952,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
McKinley Elementary,Petaluma City Schools,15153,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",110 Ellis St.,110 Ellis St.,Petaluma,94952,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
Penngrove Elementary,Petaluma City Schools,15155,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",365 Adobe Rd.,365 Adobe Rd.,Petaluma,94951,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
San Antonio High School,Petaluma City Schools,15157,"We provide 7 days worth of breakfast and lunch meals for students every week. We are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student

Please contact your school site for their specific pickup location.",,"Ofrecemos 7 días de desayuno y almuerzo para los estudiantes cada semana.  Estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta que cualquier niño menor de 18 años es elegible para las comidas.

Las familias de Petaluma High recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por estudiante
Miércoles 2 almuerzos y 2 desayunos por estudiante
Viernes 3 almuerzos y 3 desayunos por estudiante

Comuníquese con el sitio de su escuela para saber el lugar específico de recogida.",500 Vallejo St,500 Vallejo St,Petaluma,94952,,,petalumacityschools.org/Page/4858,rdigiaimo@petk12.org,Open,,Curbside Pickup,,School Meals,(707) 778-4851,Petaluma City Schools - All Schools,"Monday, Wednesday, Friday",12:15 PM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:45am,Micah Trautwein,
